establecimiento_nombre,provincia_nombre,establecimiento_id,localidad_nombre,departamento_nombre,cp
UNIDAD SANITARIA ANTONIO CARBONI,BUENOS AIRES,50064832202058,ANTONIO CARBONI,LOBOS,7243
PUESTO SANITARIO COLONIA CUSHAMEN,CHUBUT,50260142129209,LAGO EPUYEN,CUSHAMEN,9211
UNIDAD SANITARIA N° 13 SANTA CATALINA DE LUIS GUILLON,BUENOS AIRES,50062602202502,LUIS GUILLON,ESTEBAN ECHEVERRÍA,1838
UNIDAD SANITARIA LAGUNA DE LOBOS,BUENOS AIRES,50064832202388,LAGUNA DE LOBOS,LOBOS,7240
UNIDAD SANITARIA LAS CHACRAS,BUENOS AIRES,50064832202396,LAS CHACRAS,LOBOS,7241
UNIDAD SANITARIA SALVADOR MARIA,BUENOS AIRES,50064832202767,SALVADOR MARIA,LOBOS,7241
NIDAD SANITARIA N° 2 LA MORITA,BUENOS AIRES,50062602202548,EL JAGÜEL,ESTEBAN ECHEVERRÍA,1842
CENTRO DE ATENCION PRIMARIA DE LA SALUD UAP RAVAZZOLI,BUENOS AIRES,50068612201998,VILLA MARTELLI,VICENTE LÓPEZ,1603
CAPS UNIDAD SANITARIA SAN MARTIN DE PORRES,BUENOS AIRES,50068822201885,ZARATE,ZÁRATE ,2800
HTAL AÑELO,NEUQUÉN,50580142167057,AÑELO,AÑELO,8305
UNIDAD SANITARIA EL CEIBO,BUENOS AIRES,50068612202262,LA LUCILA,VICENTE LÓPEZ,1636
CENTRO DE ATENCION PRIMARIA DE LA SALUD UAP DR. NEGRETE,BUENOS AIRES,50068612202002,MUNRO,VICENTE LÓPEZ,1605
SALA DE PRIMEROS AUXILIOS MALVICINO SAN LUIS,BUENOS AIRES,50068822201855,ZARATE,ZÁRATE ,2800
ESTABLECIMIENTO ASISTENCIAL DR. JOSE PADROS,LA PAMPA,10421262153021,RANCUL,RANCUL,6214
ESTABLECIMIENTO ASISTENCIAL PADRE ANGEL BUODO,LA PAMPA,10421542153040,GENERAL ACHA,UTRACÁN,8202
LABORATORIO ANALISIS CLINICOS DRA. S. MOSCONI,SANTA FE,51821192385775,CORONEL ARNOLD,SAN LORENZO,2123
LABORATORIO ANALISIS CLINICOS DRES. J. C. POET - J. QUETGLAS Y N. QUETGLAS,SANTA FE,51820842385833,ARROYO SECO,ROSARIO,2128
LABORATORIO ANALISIS CLINICOS DR. A. LORENZETTI,SANTA FE,51820842385447,ROSARIO,ROSARIO,2000
LABORATORIO ANALISIS CLINICOS DR. A. MOTTINO,SANTA FE,51820842385449,ROSARIO,ROSARIO,2000
LABORATORIO ANALISIS CLINICOS DR. A. RIVAS,SANTA FE,51820842385451,ROSARIO,ROSARIO,2000
LABORATORIO ANALISIS CLINICOS DR. A. VALLEJOS,SANTA FE,51820842385455,ROSARIO,ROSARIO,2000
LABORATORIO ANALISIS CLINICOS DR. A. A. RIZZA,SANTA FE,51820842385456,ROSARIO,ROSARIO,2000
LABORATORIO ANALISIS CLINICOS DR. C. ARTUSI,SANTA FE,51820842385458,ROSARIO,ROSARIO,2000
LABORATORIO ANALISIS CLINICOS DR. C. BIFARELLO,SANTA FE,51820842385460,ROSARIO,ROSARIO,2000
LABORATORIO DE ANALISIS CLINICOS MILESI PULIDORI,ENTRE RÍOS,51300282342567,FEDERACION,FEDERACIÓN,3206
CLINICA INSTITUTO RAWSON DE DIAGNOSTICO Y TRATAMIENTO S.R.L.,ENTRE RÍOS,10300842342089,PARANA,PARANÁ,3100
MEUCCI GINO Y MEUCCI LUCIANA LABORATORIO DE ANALISIS CLINICOS,ENTRE RÍOS,51300842342542,PARANA,PARANÁ,3100
LABORATORIO DE ANALISIS CLINICOS DR. JUAN CARLOS NANNI,ENTRE RÍOS,51300842342554,PARANA,PARANÁ,3100
LABORATORIO DE ANALISIS CLINICOS DR. MARRAMA,ENTRE RÍOS,51300842342556,PARANA,PARANÁ,3100
CLINICA PRIVADA LABOULAYE S.R.L.,CÓRDOBA,10140842331074,LABOULAYE,PRESIDENTE ROQUE SÁENZ PEÑA,6120
LABORATORIO HOSPITAL ITALIANO,SANTA FE,51820632386237,SANTA FE,LA CAPITAL,3000
LABORATORIO PALAZZI Y CARIZZA,SANTA FE,51820632386239,SANTA FE,LA CAPITAL,3000
LABORATORIO TERESITA ALIGNANI-EDGARDO,SANTA FE,51820632386241,SANTA FE,LA CAPITAL,3000
INSTITUTO DE RADIOLOGIA,SANTA FE,51820842385419,ROSARIO,ROSARIO,2000
LABORATORIO ANALISIS CLINICOS DR. J. CORRADI,SANTA FE,51821122385518,SAN JUSTO,SAN JUSTO,3040
CENTRO DE REHABILITACION INTEGRAL DE LA SALUD C.R.I.S.,CORRIENTES,52180212339474,CORRIENTES,CAPITAL,3400
HOSPITAL EVA DUARTE,ENTRE RÍOS,10300632142038,CEIBAS,ISLAS DEL IBICUY,2823
LABORATORIO ANALISIS CLINICOS DR. R. BONO,SANTA FE,51820702385575,ESPERANZA,LAS COLONIAS,3080
CLINICA BOVRIL S.A.,ENTRE RÍOS,10300702342005,BOVRIL,LA PAZ,3142
HOSPITAL SAN MIGUEL,ENTRE RÍOS,10300702142070,BOVRIL,LA PAZ,3142
CEDYCA - CENTRO DE DIAGNOSTICO Y CIRUGIA AMBULATORIA,SANTA FE,50820842384428,ROSARIO,ROSARIO,2000
HOSPITAL PROVINCIAL LAGUNA YEMA,FORMOSA,10340072147046,LAGUNA YEMA,BERMEJO,3634
HOSPITAL DE TRANSITO VILELAS,SANTIAGO DEL ESTERO,10860982192029,VILELAS,JUAN F. IBARRA,3752
CLINICA SOR ANGELA S.R.L.,SANTIAGO DEL ESTERO,10861192392011,QUIMILI,MORENO,3740
HOSPITAL ZONAL QUIMILI DR. BERNARDO HOUSSAY,SANTIAGO DEL ESTERO,10861192192055,QUIMILI,MORENO,3740
HOSPITAL DE TRANSITO WEISBURD,SANTIAGO DEL ESTERO,10861192192031,WEISBURD,MORENO,4351
HOSPITAL ZONAL NUEVA ESPERANZA,SANTIAGO DEL ESTERO,10861332192060,NUEVA ESPERANZA,PELLEGRINI,4197
LABORATORIO DE ANALISIS CLINICOS DRA. M. I. ISLAS,SANTIAGO DEL ESTERO,51861332392497,NUEVA ESPERANZA,PELLEGRINI,4197
SANATORIO AMERICANO (LA CAPITAL),SANTA FE,10820632384215,SANTA FE,LA CAPITAL,3000
SANATORIO GARAY,SANTA FE,10820632384231,SANTA FE,LA CAPITAL,3000
SANATORIO MAYO,SANTA FE,10820632384239,SANTA FE,LA CAPITAL,3000
SALA DE DIAGNOSTICO POR IMAGENES CENTRO DE DIAGNOSTICO POR IMAGENES DE ALTA COMPLEJIDAD,ENTRE RÍOS,51300982342518,CONCEPCION DEL URUGUAY,URUGUAY,3260
SALA DE DIAGNOSTICO POR IMAGENES CONSULTORIO RADIOLOGICO LOPEZ SIRA MARIA GHISI JUAN Y OTROS,ENTRE RÍOS,51300982342524,CONCEPCION DEL URUGUAY,URUGUAY,3260
CONSULTORIO MEDICO CENTRO NEUROFISIOLOGICO URUGUAY,ENTRE RÍOS,50300982342407,CONCEPCION DEL URUGUAY,URUGUAY,3260
CONSULTORIO ODONTOLOGICO CENTRO ODONTOLOGIA INTEGRAL DR. HARRIS,ENTRE RÍOS,50300982342410,CONCEPCION DEL URUGUAY,URUGUAY,3260
CONSULTORIO MEDICO CENTRO TRAUMATOLOGICO URUGUAY,ENTRE RÍOS,50300982342421,CONCEPCION DEL URUGUAY,URUGUAY,3260
ATENEO ARGENTINO DE ODONTOLOGIA,CABA,50020012315680,RECOLETA,COMUNA 2,C1425ELB
LABORATORIO DE ANALISIS CLINICOS DE LA CLINICA DEL SOL,SANTIAGO DEL ESTERO,51860492392501,SANTIAGO DEL ESTERO,CAPITAL,4200
LABORATORIO DE ANALISIS CLINICOS DEL SANATORIO SANTIAGO,SANTIAGO DEL ESTERO,51860492392502,SANTIAGO DEL ESTERO,CAPITAL,4200
CLINICA DE LOS VIRREYES,CABA,10020012315188,BELGRANO,COMUNA 13,1428
HOSPITAL MUNICIPAL SALLIQUELO,BUENOS AIRES,10067212200334,SALLIQUELO,SALLIQUELÓ,6339
CLINICA PRIVADA SAN FERNANDO SRL,BUENOS AIRES,10067282300152,SAN ANDRES DE GILES,SAN ANDRÉS DE GILES,6720
HOSPITAL MUNICIPAL SAN ANDRES,BUENOS AIRES,10067282200335,SAN ANDRES DE GILES,SAN ANDRÉS DE GILES,6720
HOSPITAL MUNICIPAL EMILIO ZERBONI,BUENOS AIRES,10067352200316,SAN ANTONIO DE ARECO,SAN ANTONIO DE ARECO,2760
CENTRO DE ATENCION INTEGRAL,CORRIENTES,50180212339132,CORRIENTES,CAPITAL,3400
HOSPITAL REGIONAL RAMON JOSE CARCANO,CÓRDOBA,10140842131252,LABOULAYE,PRESIDENTE ROQUE SÁENZ PEÑA,6120
HOSPITAL MUNICIPAL INTENDENTE ANTONIO BUSSO,CÓRDOBA,10140842231152,SERRANO,PRESIDENTE ROQUE SÁENZ PEÑA,6125
CLINICA PRIVADA SARMIENTO S.A,CÓRDOBA,10140912331125,COSQUIN,PUNILLA,5166
HOSPITAL DR. ARMANDO CIMA,CÓRDOBA,10140912231163,COSQUIN,PUNILLA,5166
HOSPITAL MUNICIPAL LA CUMBRE DR. OSCAR VIGNAROLI,CÓRDOBA,10140912231171,LA CUMBRE,PUNILLA,5178
CLINICA PRIVADA LA FALDA,CÓRDOBA,10140912331073,LA FALDA,PUNILLA,X5172GFE
HOSPITAL MUNICIPAL LA FALDA,CÓRDOBA,10140912231213,LA FALDA,PUNILLA,5172
HOSPITAL COLONIA SANTA MARIA,CÓRDOBA,13140912131359,SANTA MARIA DE PUNILLA,PUNILLA,5164
HOSPITAL REGIONAL DOMINGO FUNES - VILLA CAEIRO,CÓRDOBA,10140912131247,SANTA MARIA DE PUNILLA,PUNILLA,5164
POSTA SANITARIA RIO NIO,TUCUMÁN,50900072196537,RIO DEL NIO,BURRUYACÚ,4119
POLICLINICO PRIVADO FREYRE,CÓRDOBA,10141402331275,FREYRE,SAN JUSTO,2413
INSTITUTO MEDICO DEL NORTE S.A.,JUJUY,10380212350033,SAN SALVADOR DE JUJUY,DR. MANUEL BELGRANO,4600
INSTITUTO MEDICO INTEGRAL SAN SALVADOR S.A. (IMISS),JUJUY,10380212350034,SAN SALVADOR DE JUJUY,DR. MANUEL BELGRANO,4600
UNIDAD SANITARIA DR. ARTURO ILLIA DE OLIVOS,BUENOS AIRES,50068612202216,OLIVOS,VICENTE LÓPEZ,1636
SALA DE PRIMEROS AUXILIOS CLUB CHACARITA,BUENOS AIRES,50068822201805,ZARATE,ZÁRATE ,2800
UNIDAD SANITARIA N° 9 SAN IGNACIO DE ESTEBAN ECHEVERRIA,BUENOS AIRES,50062602202684,EL JAGÜEL,ESTEBAN ECHEVERRÍA,1842
UNIDAD SANITARIA N° 31 SAN PEDRO DE BERAZATEGUI,BUENOS AIRES,50060912202599,GUILLERMO ENRIQUE HUDSON,BERAZATEGUI,1884
UNIDAD SANITARIA N° 35 DE BERISSO,BUENOS AIRES,50060982202605,BERISSO,BERISSO,1923
UNIDAD SANITARIA N° 43 DE BERISSO,BUENOS AIRES,50060982202625,BERISSO,BERISSO,1923
UNIDAD SANITARIA ODONTOLOGICA ESCOLAR,BUENOS AIRES,50060982202697,BERISSO,BERISSO,1923
DISPENSARIO TETAMANTI,BUENOS AIRES,50060982201610,BERISSO,BERISSO,1923
C.A.P.S.  ENF. TITA ROSARIO FALCON,ENTRE RÍOS,50300842142233,TABOSSI,PARANÁ,3111
UNIDAD SANITARIA 1° DE MAYO DE ENSENADA,BUENOS AIRES,50062452202917,ENSENADA,ENSENADA,1925
PUESTO SANITARIO PILQUINIYEU DEL LIMAY,RÍO NEGRO,50620702170265,COMALLO,PILCANIYEU,8416
PUESTO SANITARIO LAGUNA BLANCA,RÍO NEGRO,50620702170254,COMALLO,PILCANIYEU,8416
UNIDAD SANITARIA CAMPAMENTO,BUENOS AIRES,50062452202158,ENSENADA,ENSENADA,1925
CENTRO INTEGRADOR COMUNITARIO (CIC) MARIA GRANDE,ENTRE RÍOS,50300842142491,MARIA GRANDE,PARANÁ,3111
CENTRO DE SALUD LAS ANGUSTIAS,RÍO NEGRO,50620422170162,CERVANTES,GENERAL ROCA,8326
CENTRO DE SALUD DR. SALUSTIANO MINGUILLON,ENTRE RÍOS,50300842142252,CRESPO,PARANÁ,3116
CENTRO DE SALUD BARRIO LEONCIO LUQUE,ENTRE RÍOS,50300152142182,CONCORDIA,CONCORDIA,3200
CENTRO DE SALUD VILLA ADELA,ENTRE RÍOS,50300152142386,CONCORDIA,CONCORDIA,3200
CENTRO DE SALUD VILLA ZORRAQUIN,ENTRE RÍOS,50300152142390,VILLA ZORRAQUIN,CONCORDIA,3200
C.A.P.S.   DR. MARCELO MARELLI,ENTRE RÍOS,50300152142359,LA CRIOLLA,CONCORDIA,3212
C.A.P.S. DR. JOSE RAMON LARROCA,ENTRE RÍOS,50300152142243,LOS CHARRUAS,CONCORDIA,3212
UNIDAD SANITARIA DE MEDICINA PREVENTIVA,BUENOS AIRES,50060282202202,ADROGUE,ALMIRANTE BROWN,1846
CENTRO MEDICO DE ENDOCRINOLOGIA,SAN JUAN,50700282377247,SAN JUAN,CAPITAL,5400
UNIDAD SANITARIA INGENIERO ALLAN,BUENOS AIRES,50062742202328,FLORENCIO VARELA,FLORENCIO VARELA,1888
CLINICA CENTRAL ODEM,CABA,50020012315522,SAN NICOLAS,COMUNA 1,1048
CENTRO MEDICO SANTA CRUZ,SANTA CRUZ,50780142383062,CALETA OLIVIA,DESEADO,9011
LABORATORIO ANALISIS CLINICOS DR. J. SANCHEZ BUGNON,SANTA FE,51820982385539,SAN JAVIER,SAN JAVIER,3005
LABORATORIO ANALISIS CLINICOS DR. J. A. GLUNCICH,SANTA FE,51820072385520,LAS ROSAS,BELGRANO,2520
INSTITUTO DE INVESTIGACIONES CLINICAS DE ROSARIO,SANTA FE,51820842385421,ROSARIO,ROSARIO,2000
CENTRO MEDICO-KINESICO,CHACO,50221402326507,RESISTENCIA,SAN FERNANDO,3500
INSTITUTO MEDICO PRIVADO - SERVICIO DE RADIOLOGIA Y ECOGRAFIA,CORRIENTES,51180212339461,CORRIENTES,CAPITAL,3400
DEL ESTE,LA PAMPA,50421052153071,GENERAL PICO,MARACÓ,6360
LABORATORIO ANALISIS CLINICOS DR. J. L. SANDILLO,SANTA FE,51820842385542,ROSARIO,ROSARIO,2000
LABORATORIO ANALISIS CLINICOS DR. M. LUQUITA,SANTA FE,51820842385550,ROSARIO,ROSARIO,2000
LABORATORIO ANALISIS CLINICOS DR. M. V. MASSA,SANTA FE,51820842385555,ROSARIO,ROSARIO,2000
LABORATORIO ANALISIS CLINICOS DR. O. CARABANTES,SANTA FE,51820842385559,ROSARIO,ROSARIO,2000
SILAB,SANTA FE,51820842385564,ROSARIO,ROSARIO,2000
LABORATORIO ANALISIS CLINICOS DR. R. BELTRAMINI,SANTA FE,51820842385574,ROSARIO,ROSARIO,2000
ESTABLECIMIENTO SANITARIO PERIFERICO ENFERMERIA CACHIYUYO,CATAMARCA,50101052124109,CACHIYUYO,TINOGASTA,5341
ESTABLECIMIENTO SANITARIO PERIFERICO ENFERMERIA CORRAL BLANCO,CATAMARCA,50100352124116,CORRAL BLANCO,BELÉN,4751
ESTABLECIMIENTO SANITARIO  COSTA DE REYES,CATAMARCA,50101052124117,COSTA DE REYES,TINOGASTA,5341
ESTABLCIMIENTO SANITARIO PERIFERICO  ENFERMERIA EL PUESTO,CATAMARCA,50100702124121,SAN JOSE,LA PAZ,5262
ESTABLECIMIENTO SANITARIO PERIFERICO  EL TOLAR,CATAMARCA,50100352124122,BELEN,BELÉN,4750
CENTRO MEDICO INSTITUTO DEL DIAGNOSTICO POR IMAGENES,ENTRE RÍOS,51300842342527,PARANA,PARANÁ,3100
CONSULTORIO MEDICO FUNDACION SALUD,ENTRE RÍOS,50300842342460,PARANA,PARANÁ,3100
CENTRO DE SALUD LOTE 10,CHACO,50221122126343,LA TIGRA,O'HIGGINS,3701
ESTABLECIMIENTO ASISTENCIAL JOSE INGENIEROS,LA PAMPA,10421192153036,MIGUEL CANE,QUEMÚ QUEMÚ,6331
CLINICA SANTA TERESITA SA,LA PAMPA,10421332353008,REALICO,REALICÓ,6200
CLINICA DE ENFERMEDADES OCULARES SANTA LUCIA,TUCUMÁN,14900842396074,SAN MIGUEL DE TUCUMAN,CAPITAL,4000
CENTRO PRIVADO DE CARDIOLOGIA S.R.L.,TUCUMÁN,14900842396073,SAN MIGUEL DE TUCUMAN,CAPITAL,4000
CLINICA DEL PILAR CENA Y REINOSO S.R.L.,TUCUMÁN,10900842396000,SAN MIGUEL DE TUCUMAN,CAPITAL,4000
SALA DE DIAGNOSTICO POR IMAGENES INSTITUTO PRIVADO DE RADIODIAGNOSTICO,ENTRE RÍOS,51300982342528,CONCEPCION DEL URUGUAY,URUGUAY,3260
LABORATORIO DE ANALISIS CLINICOS GAMMA NUCLEAR,ENTRE RÍOS,51300982342584,CONCEPCION DEL URUGUAY,URUGUAY,3260
INSTITUTO BIOQUIMICO SOC CIVIL  ARCA GADEA  LABORATORIO DE ANALISIS CLINICOS,ENTRE RÍOS,51300982342588,CONCEPCION DEL URUGUAY,URUGUAY,3260
SALA DE DIAGNOSTICO POR IMAGENES CEDYT S.R.L.,ENTRE RÍOS,50300982342405,CONCEPCION DEL URUGUAY,URUGUAY,3260
CLINICA COOPERATIVA MEDICA URUGUAY,ENTRE RÍOS,10300982342083,CONCEPCION DEL URUGUAY,URUGUAY,3260
LABORATORIO ANALISIS CLINICOS DRA. CUENYA DE DIAZ,SANTA FE,51821122385650,GOBERNADOR CRESPO,SAN JUSTO,3044
LABORATORIO ANALISIS CLINICOS DRA. R. M. MARINUCCI,SANTA FE,51821192385766,SAN LORENZO,SAN LORENZO,2200
CLINICA SAN MARTIN,SANTA FE,10821262384056,CAÑADA ROSQUIN,SAN MARTÍN,2454
S.A.M.CO  SANFORD,SANTA FE,50820142184962,SANFORD,CASEROS,2174
LABORATORIO ANALISIS CLINICOS DRAS. O. KLENZI Y A. OSELLA DE FRUTOS,SANTA FE,51820702385796,SAN CARLOS CENTRO,LAS COLONIAS,3013
CENTRO DE SALUD DR JULIO MAIZTEGUI Bº NUEVA ROMA,SANTA FE,50820142284875,CASILDA,CASEROS,2170
LABORATORIO ANALISIS CLINICOS DRA. G. MOSSATI,SANTA FE,51820702385675,PROVIDENCIA,LAS COLONIAS,3025
CENTRO DE SALUD ALBERDI - CASILDA,SANTA FE,50820142284483,CASILDA,CASEROS,2170
CENTRO DE SALUD BARRIO BARRACAS,SANTA FE,50820142284509,CASILDA,CASEROS,2170
CLINICA CENTRO,SANTA FE,10821262384009,SAN JORGE,SAN MARTÍN,3230
CENTRO DE SALUD NUEVA ROMA 1,SANTA FE,50820142284874,CASILDA,CASEROS,2170
CLINICA SAN MARTIN (PATIÑO),FORMOSA,10340352347017,SAN MARTIN II,PATIÑO,3621
HOSPITAL PROVINCIAL LOS CHIRIGUANOS,FORMOSA,10340072147048,LOS CHIRIGUANOS,BERMEJO,3632
HOSPITAL EL CHORRO (GRAL. MOSCONI),FORMOSA,10340632147030,GENERAL MOSCONI,RAMÓN LISTA,3636
POLICONSULTORIO DRA. MAZZARO NOELIA SUSANA,CORRIENTES,50180702339295,GOYA,GOYA,3450
SANATORIO SAN MARTIN,CORRIENTES,10180702339069,GOYA,GOYA,3450
CONSULTORIOS MEDICOS TUPAC AMARU,JUJUY,50380212350305,SAN SALVADOR DE JUJUY,DR. MANUEL BELGRANO,4600
HOSPITAL REGIONAL DR. ERNESTO ROMAGOSA,CÓRDOBA,10140492131248,DEAN FUNES,ISCHILÍN,5200
HOSPITAL MUNICIPAL AMARO E. SASTRE - GENERAL CABRERA -,CÓRDOBA,10140562231154,GENERAL CABRERA,JUÁREZ CELMAN,5809
HOSPITAL DE LA COMUNIDAD DR. RINALDO J. A. MAINO DE GENERAL DEHEZA,CÓRDOBA,10140562231151,GENERAL DEHEZA,JUÁREZ CELMAN,5923
SANATORIO PRIVADO S.R.L.,CÓRDOBA,10140562331305,LA CARLOTA,JUÁREZ CELMAN,2670
CLINICA  MAYO  S.R.L ( UCACHA ),CÓRDOBA,10140562331080,UCACHA,JUÁREZ CELMAN,2677
HOSPITAL MUNICIPAL UCACHA,CÓRDOBA,10140562231236,UCACHA,JUÁREZ CELMAN,2677
HOSPITAL MUNICIPAL DR. MIGUEL BAEZA,CÓRDOBA,10140632231198,CAMILO ALDAO,MARCOS JUÁREZ,2585
CLINICA INTEGRAL CORRAL DE BUSTOS S.R.L,CÓRDOBA,10140632331068,CORRAL DE BUSTOS,MARCOS JUÁREZ,2645
HOSPITAL DR. PEDRO VELLA,CÓRDOBA,10140632131167,CORRAL DE BUSTOS,MARCOS JUÁREZ,2645
CLINICA MEDICA POLIVALENTE DEL SOL PRIVADA S.R.L,CÓRDOBA,10140632331047,CRUZ ALTA,MARCOS JUÁREZ,2189
POLICONSULTORIO DR. CARLOS E. SCHAROVSKY,CORRIENTES,50180212339274,CORRIENTES,CAPITAL,3400
POLICONSULTORIO DR. COLMAN,CORRIENTES,50180212339276,CORRIENTES,CAPITAL,3400
HOSPITAL SUBZONAL EL MAITEN,CHUBUT,10260142129039,EL MAITEN,CUSHAMEN,3240
CENTRO N° 9 DE GENERAL RODRIGUEZ,BUENOS AIRES,50063642201444,GENERAL RODRIGUEZ,GENERAL RODRÍGUEZ,1748
SALA N° 10 BARRIO VISTA LINDA,BUENOS AIRES,50063642201950,GENERAL RODRIGUEZ,GENERAL RODRÍGUEZ,1748
SALA N° 14 BARRIO ALMAFUERTE,BUENOS AIRES,50063642201954,GENERAL RODRIGUEZ,GENERAL RODRÍGUEZ,1748
CATAMARAN,BUENOS AIRES,50068822201079,ZARATE,ZÁRATE ,2800
SALA DE PRIMEROS AUXILIOS VILLA EUGENIA,BUENOS AIRES,50068822201898,ZARATE,ZÁRATE ,2800
UNIDAD SANITARIA N° 7 JOSE PEREYRA DE JOSE LEON SUAREZ,BUENOS AIRES,50063712202660,JOSÉ LEÓN SUAREZ,GENERAL SAN MARTÍN,1655
CENTRO DE SALUD RAMON CARRILLO DE GENERAL SAN MARTIN,BUENOS AIRES,50063712201344,VILLA MAIPU,GENERAL SAN MARTÍN,1650
CENTRO DE SALUD VILLA CONCEPCION,BUENOS AIRES,50063712201367,GENERAL SAN MARTÍN,GENERAL SAN MARTÍN,1650
UNIDAD SANITARIA DR. CARLOS BOZANO,BUENOS AIRES,50066932202221,CARLOS BEGUERIE,ROQUE PÉREZ,7247
UNIDAD SANITARIA BARRIO JOHN KENNEDY,BUENOS AIRES,50066232202095,PERGAMINO,PERGAMINO,2700
CENTRO DE SALUD N° 6 BARRIO LIBERTADOR DE LOMA HERMOSA,BUENOS AIRES,50063712201328,LOMA HERMOSA,GENERAL SAN MARTÍN,1657
UNIDAD SANITARIA N° 16 SALVADOR MAZZA DE VILLA ZAGALA,BUENOS AIRES,50063712202522,VILLA ZAGALA,GENERAL SAN MARTÍN,1651
UNIDAD SANITARIA NUESTRA SEÑORA DE LUJAN,BUENOS AIRES,50066232202691,PERGAMINO,PERGAMINO,2700
UNIDAD SANITARIA BARRIO SIRENA DE FLORENCIO VARELA,BUENOS AIRES,50062742202134,FLORENCIO VARELA,FLORENCIO VARELA,1888
UNIDAD SANITARIA MANDIROLA BARRIO LA ROTONDA,BUENOS AIRES,50062742202434,FLORENCIO VARELA,FLORENCIO VARELA,1888
CENTRO COMUNITARIO DE SALUD CEDEPO,BUENOS AIRES,50062742201115,FLORENCIO VARELA,FLORENCIO VARELA,1888
UNIDAD SANITARIA SAN RUDECINDO,BUENOS AIRES,50062742202806,FLORENCIO VARELA,FLORENCIO VARELA,1888
UNIDAD SANITARIA PRESIDENTE PERON BARRIO PEPSI DE FLORENCIO VARELA,BUENOS AIRES,50062742202733,BOSQUES,FLORENCIO VARELA,1889
HOSPITAL PEDIATRICO DR. AVELINO LORENZO CASTELAN,CHACO,11221402126091,RESISTENCIA,SAN FERNANDO,3500
HOSPITAL DR. SALVADOR MAZZA (18),JUJUY,10380942150014,TILCARA,TILCARA,4624
HOSPITAL DR. ARTURO ZABALA (6),JUJUY,10380142150017,PERICO,EL CARMEN,4608
HOSPITAL MAIMARA (16),JUJUY,10380942150023,MAIMARA,TILCARA,4622
HOSPITAL PRESBITERO ESCOLASTICO ZEGADA (10),JUJUY,10380352150029,FRAILE PINTADO,LEDESMA,4506
CAPS LA INVERNADA,TUCUMÁN,50900492196273,LA INVERNADA,LA COCHA,4132
C.A.P.S. 091 COLONIA LAS ROSAS.-,MENDOZA,50501192157137,COLONIA LAS ROSAS,TUNUYÁN,5565
CAPS LOS POCITOS,TUCUMÁN,50901052196192,TAFI VIEJO,TAFÍ VIEJO,4103
LABORATORIO ANALISIS CLINICOS DR. R. BONTEMPO,SANTA FE,51820842385576,ROSARIO,ROSARIO,2000
HOSPITAL DE TRANSITO LAPRIDA,SANTIAGO DEL ESTERO,10860632192022,LAPRIDA,CHOYA,4205
HOSPITAL DISTRITAL BANDERA BAJADA,SANTIAGO DEL ESTERO,10860702192032,BANDERA BAJADA,FIGUEROA,4301
HOSPITAL DE TRANSITO LA CAÑADA,SANTIAGO DEL ESTERO,10860702192021,LA CAÑADA,FIGUEROA,4354
HOSPITAL ZONAL AÑATUYA MONSEÑOR JORGE GOTTAU,SANTIAGO DEL ESTERO,10860772192050,AÑATUYA,GENERAL TABOADA,3760
LABORATORIO DE ANALISIS CLINICOS DR. JUAN C. ELEAN,SANTIAGO DEL ESTERO,51860772392491,AÑATUYA,GENERAL TABOADA,3760
LABORATORIO DE ANALISIS CLINICOS DRA. C. M. GONZALEZ,SANTIAGO DEL ESTERO,51860772392494,AÑATUYA,GENERAL TABOADA,3760
HOSPITAL DISTRITAL LOS JURIES,SANTIAGO DEL ESTERO,10860772192040,LOS JURIES,GENERAL TABOADA,3773
DIBAC SRL,CHUBUT,51260772329283,TRELEW,RAWSON,9100
HOSPITAL ZONAL TRELEW DR. ADOLFO MARGARA,CHUBUT,10260772129042,TRELEW,RAWSON,9100
CENTRO MEDICO IPAM - CONSULTORIOS EXTERNOS,SANTA FE,50820842385113,ROSARIO,ROSARIO,2000
LABORATORIO ANALISIS CLINICOS DR. A. SOTO,SANTA FE,51820422385454,MAGGIOLO,GENERAL LÓPEZ,2622
HOSPITAL SUBZONAL ESPECIALIZADO DR. RAMOS MEJIA,BUENOS AIRES,13064412100619,LA GRANJA,LA PLATA,1901
LABORATORIO ANALISIS CLINICOS DRA. L. DALLACOSTA DE TOURN,SANTA FE,51820702385690,SAN CARLOS CENTRO,LAS COLONIAS,3013
LABORATORIO ANALISIS CLINICOS DRA. L. MEIER DE TROSERO,SANTA FE,51820702385692,SANTO DOMINGO,LAS COLONIAS,3025
LABORATORIO ANALISIS CLINICOS DRA. M. L. HIERRO,SANTA FE,51821192385739,SAN LORENZO,SAN LORENZO,2200
HOSPITAL PRIVADO DE NIÑOS FUNDACION HOSPITALARIA,CABA,12020012315486,SAAVEDRA,COMUNA 12,C1429AKK
HOSPITAL DISTRITAL INGENIERO JUAREZ EVA PERON,FORMOSA,10340282147038,INGENIERO GUILLERMO N. JUAREZ,MATACOS,3636
HOSPITAL PROVINCIAL GENERAL MANUEL BELGRANO.,FORMOSA,10340352147041,VILLA GENERAL MANUEL BELGRANO,PATIÑO,3615
CENTRO DE REFERENCIA HOSPITAL PROVINCIAL VILLA DOS TRECE,FORMOSA,10340562147061,VILLA KILOMETRO 213,PIRANÉ,3603
